"pop_num"	"variable"	"value"	"mro_ci"	"upper_ci"	"lower_ci"
"1"	2	"rand_mro"	0.536253952092254	0.00644622784943899	0.542700179941693	0.529807724242815
"2"	3	"rand_mro"	0.535771416392765	0.00435058470953735	0.540122001102302	0.531420831683228
"3"	4	"rand_mro"	0.538195026081364	0.0037211301357655	0.54191615621713	0.534473895945599
"4"	5	"rand_mro"	0.541525679082489	0.00330478393920673	0.544830463021696	0.538220895143282
"5"	6	"rand_mro"	0.539039466300014	0.00292896070980259	0.541968427009817	0.536110505590211
"6"	7	"rand_mro"	0.539327184835667	0.00271520803396207	0.542042392869629	0.536611976801705
"7"	8	"rand_mro"	0.539558099860481	0.00251777431854412	0.542075874179025	0.537040325541937
"8"	9	"rand_mro"	0.539155955082184	0.00232868920550127	0.541484644287685	0.536827265876683
"9"	10	"rand_mro"	0.540619539297069	0.00218320224635377	0.542802741543423	0.538436337050715
"10"	11	"rand_mro"	0.541336718000561	0.00212209213091438	0.543458810131475	0.539214625869647
"11"	12	"rand_mro"	0.540114191337113	0.00203326513343793	0.542147456470551	0.538080926203675
"12"	13	"rand_mro"	0.540901285277309	0.00191240823074138	0.54281369350805	0.538988877046568
"13"	14	"rand_mro"	0.540714251446953	0.00185329446265803	0.542567545909611	0.538860956984295
"14"	15	"rand_mro"	0.540968822952902	0.0017948395233824	0.542763662476284	0.53917398342952
"15"	16	"rand_mro"	0.542125443090324	0.0017438362538966	0.543869279344221	0.540381606836427
"16"	17	"rand_mro"	0.540813190305632	0.00171001181163401	0.542523202117266	0.539103178493998
"17"	18	"rand_mro"	0.542525306261147	0.00165880699509347	0.54418411325624	0.540866499266054
"18"	19	"rand_mro"	0.540749711002359	0.0015146048958431	0.542264315898202	0.539235106106516
"19"	20	"rand_mro"	0.540271298793854	0.00155367849870621	0.54182497729256	0.538717620295148
"20"	21	"rand_mro"	0.541365169316635	0.00154101430611166	0.542906183622747	0.539824155010523
"21"	22	"rand_mro"	0.541707262623027	0.00147510786645732	0.543182370489484	0.54023215475657
"22"	23	"rand_mro"	0.540470230476931	0.00143303082600298	0.541903261302934	0.539037199650928
"23"	24	"rand_mro"	0.540340610935254	0.00138732384778611	0.54172793478304	0.538953287087468
"24"	25	"rand_mro"	0.542238332550035	0.00137864418432308	0.543616976734358	0.540859688365712
"25"	26	"rand_mro"	0.539727199637155	0.00133267073239966	0.541059870369555	0.538394528904755
"26"	27	"rand_mro"	0.541055355444052	0.00132202354275656	0.542377378986809	0.539733331901295
"27"	28	"rand_mro"	0.540725698948316	0.00125175543919268	0.541977454387509	0.539473943509123
"28"	29	"rand_mro"	0.540420833541838	0.00125932297246108	0.541680156514299	0.539161510569377
"29"	30	"rand_mro"	0.540942745689975	0.00117780607917559	0.542120551769151	0.539764939610799
"30"	31	"rand_mro"	0.542085029108987	0.0012243945668181	0.543309423675805	0.540860634542169
"31"	32	"rand_mro"	0.540683171014311	0.00119822092921999	0.541881391943531	0.539484950085091
"32"	33	"rand_mro"	0.539867200626062	0.00120058116410542	0.541067781790167	0.538666619461957
"33"	34	"rand_mro"	0.541444413127189	0.00119833721790307	0.542642750345092	0.540246075909286
"34"	35	"rand_mro"	0.541237313413301	0.0011337244800031	0.542371037893304	0.540103588933298
"35"	36	"rand_mro"	0.54104539974711	0.00113052135921154	0.542175921106322	0.539914878387898
"36"	37	"rand_mro"	0.541069362585851	0.00116396255637888	0.54223332514223	0.539905400029472
"37"	38	"rand_mro"	0.540252410164116	0.00111314897895116	0.541365559143067	0.539139261185165
"38"	39	"rand_mro"	0.541932830192057	0.00104286513722343	0.54297569532928	0.540889965054834
"39"	40	"rand_mro"	0.540513637220408	0.00107798197637702	0.541591619196785	0.539435655244031
"40"	41	"rand_mro"	0.541095731947104	0.00108639546889288	0.542182127415997	0.540009336478211
"41"	42	"rand_mro"	0.541567023015079	0.00104594925159938	0.542612972266678	0.54052107376348
"42"	43	"rand_mro"	0.540635155593062	0.0010611401098967	0.541696295702959	0.539574015483165
"43"	44	"rand_mro"	0.541424242543931	0.00104866877905926	0.54247291132299	0.540375573764872
"44"	45	"rand_mro"	0.54099857961888	0.00106565214054668	0.542064231759427	0.539932927478333
"45"	46	"rand_mro"	0.541266962569261	0.00105226469527659	0.542319227264538	0.540214697873984
"46"	47	"rand_mro"	0.539581151071573	0.000970368112157852	0.540551519183731	0.538610782959415
"47"	48	"rand_mro"	0.5413574263736	0.000947002982076725	0.542304429355677	0.540410423391523
"48"	49	"rand_mro"	0.541013737053919	0.00095857407909015	0.541972311133009	0.540055162974829
"49"	50	"rand_mro"	0.541733180495286	0.000922728921346444	0.542655909416632	0.540810451573939
"50"	51	"rand_mro"	0.541183678776092	0.000983364742021821	0.542167043518114	0.54020031403407
"51"	52	"rand_mro"	0.540710431874594	0.000962129541815724	0.54167256141641	0.539748302332778
"52"	53	"rand_mro"	0.540914286196751	0.000979735820147008	0.541894022016898	0.539934550376604
"53"	54	"rand_mro"	0.540574602574101	0.000932177453446584	0.541506780027547	0.539642425120654
"54"	55	"rand_mro"	0.541605030347057	0.000939680797236625	0.542544711144294	0.54066534954982
"55"	56	"rand_mro"	0.541828842728088	0.000898817286166174	0.542727660014254	0.540930025441922
"56"	57	"rand_mro"	0.540508957051896	0.000897538618812298	0.541406495670708	0.539611418433084
"57"	58	"rand_mro"	0.541326231164841	0.000895643707767407	0.542221874872608	0.540430587457074
"58"	59	"rand_mro"	0.541471739985529	0.000882894897181933	0.542354634882711	0.540588845088347
