"rand_mro"	"rand_mip"	"baci_a_mro"	"baci_a_mip"	"bact_mro"	"bact_mip"	"baci_mro"	"baci_mip"	"acti_mro"	"acti_mip"	"pseu_mro"	"pseu_mip"	"spir_mro"	"spir_mip"	"rand_mro_sd"	"rand_mip_sd"	"baci_a_mro_sd"	"baci_a_mip_sd"	"bact_mro_sd"	"bact_mip_sd"	"baci_mro_sd"	"baci_mip_sd"	"acti_mro_sd"	"acti_mip_sd"	"pseu_mro_sd"	"pseu_mip_sd"	"spir_mro_sd"	"spir_mip_sd"
"1"	0.536253952092254	1.73073073073073	0.574323585970542	1.37437437437437	0.531983267442114	2.33533533533534	0.53972132592369	1.37537537537538	0.554333583168056	1.7987987987988	0.487937554271857	3.43743743743744	0.490233893559493	3.54754754754755	0.103827713116591	1.40303370369852	0.106074333860555	1.14569158257742	0.0920470068715682	1.61116553196916	0.10703400604065	1.37696270349195	0.0994077558521114	1.37926186242092	0.119204597802285	2.67359984142429	0.128781136412429	2.62779415017289
"2"	0.535771416392765	4.00700700700701	0.57583349916635	3.39139139139139	0.5364253820131	5.01201201201201	0.534867021829005	3.47047047047047	0.553883152096246	4.30830830830831	0.497756638621186	6.93393393393393	0.497440013484746	6.9029029029029	0.0700737348510855	2.15644416896396	0.0737343565539255	1.84791654494464	0.066144413369349	2.18159909357012	0.0748215424476411	1.99269177745047	0.0705343230025195	2.1080628308565	0.0811541056063133	3.40629495644465	0.0839477503604235	3.45158056524519
"3"	0.538195026081364	6.57257257257257	0.571764325047642	5.45545545545546	0.536132097506747	7.6036036036036	0.536023934451872	5.5965965965966	0.549058649963067	6.81181181181181	0.500424210271063	10.4124124124124	0.498954944330695	10.4184184184184	0.0599352739663687	2.76980724108991	0.0647771076913771	2.33337889806427	0.0547723308882981	2.56323377040615	0.0608657004719275	2.62987850486084	0.0563700588711657	2.52336191048434	0.0675259963777912	3.91186547174416	0.0679900588380914	4.00013791108713
"4"	0.541525679082489	8.74274274274274	0.57193556916559	7.46746746746747	0.538022443406965	10.1471471471471	0.536690490828083	7.57957957957958	0.553372853917316	9.27627627627628	0.501686555375943	13.5335335335335	0.499286817704062	13.3753753753754	0.0532292942115187	3.17538202219176	0.0555101201430835	2.76223688301501	0.0479802265253962	2.9189741673658	0.0517171812993946	3.04038011536638	0.0519184881264241	3.08167831387511	0.0575366176616144	4.27799358166842	0.0567591859708741	4.39099030127442
"5"	0.539039466300014	11.3113113113113	0.571567519968504	9.47047047047047	0.538286909789446	12.4184184184184	0.53855424569387	9.54554554554555	0.554029690641638	11.9429429429429	0.5024750513094	16.8528528528529	0.499866499810352	16.5775775775776	0.0471760073348348	3.56870473549725	0.0522355911667448	3.22050029081277	0.0439399316602226	3.06461822595291	0.0473147173418609	3.18998898699541	0.0468266959461091	3.3835846432184	0.0487552936399482	4.68970746225523	0.0475749989763069	4.63624063138681
"6"	0.539327184835667	13.5725725725726	0.568007102936214	11.8948948948949	0.5367800496208	14.9079079079079	0.538624750191614	11.6586586586587	0.550766546833023	14.04004004004	0.502365574119539	19.4314314314314	0.504101590653688	19.6036036036036	0.0437331486547766	3.89703248804963	0.0461352033766636	3.6735478589107	0.0401826933896821	3.63510047156944	0.0419528276092046	3.8559485578992	0.0405224937540642	3.67333433936197	0.0441980942430824	4.91073147507514	0.0459939891878906	4.94184892206997
"7"	0.539558099860481	15.7977977977978	0.571244276415611	13.4694694694695	0.538777977957815	16.8328328328328	0.534584766053227	13.7227227227227	0.5509738826483	16.3993993993994	0.502156804661895	22.024024024024	0.502619771937634	22.1891891891892	0.040553135220138	4.03903239905257	0.0431835093547612	3.68945021712288	0.0354883247301368	3.7500945990851	0.0404106592273709	4.05401829335289	0.0379563858661709	3.7214699133907	0.0413009328721385	5.07433949060913	0.043549238406778	5.21148370121016
"8"	0.539155955082184	18.1341341341341	0.570931686458319	15.2862862862863	0.540648708042687	18.8588588588589	0.537937260329218	15.5555555555556	0.550688350618065	18.6376376376376	0.505875834838923	24.8028028028028	0.50486194533206	24.5035035035035	0.0375075905496469	4.45575285367266	0.0420019375126694	4.06758067494875	0.0366581744661768	3.97828513361068	0.0367612502545687	4.40175164016213	0.0360473231108612	3.9288288607751	0.0394316405925075	5.56453774475272	0.039864882480785	5.27782612777342
"9"	0.540619539297069	20.0800800800801	0.572838476034138	17.1631631631632	0.538446453899396	20.7797797797798	0.536307106711733	17.3983983983984	0.551811998982689	20.5885885885886	0.506232164631589	27.1201201201201	0.506239920227168	27.1011011011011	0.0351642699892533	4.33626567377747	0.0389696807651035	4.23748947355405	0.0328500799065641	4.16584446081403	0.0340585313526559	4.58185816956499	0.034445618997023	4.20967369461579	0.0369521153207379	5.5905360899588	0.0369051221730238	5.56909493774707
"10"	0.541336718000561	22.0790790790791	0.57129600953434	18.8408408408408	0.540041289494104	22.8478478478478	0.536908227071907	19.035035035035	0.549645152704933	22.7597597597598	0.506407467756321	29.1841841841842	0.504193999657833	29.3633633633634	0.0341799852753775	4.64865278313503	0.0381351570164541	4.42298760255536	0.0326307621869837	4.42606518013806	0.0323408205592115	4.92221801977952	0.0323558648542797	4.2926910832034	0.0336640890990003	5.41930325832773	0.0351762677752078	5.54983788052402
