"pop_num"	"variable"	"value"	"mip_ci"	"upper_ci"	"lower_ci"
"1"	2	"rand_mip"	1.73073073073073	0.0871084863857771	1.81783921711651	1.64362224434495
"2"	3	"rand_mip"	4.00700700700701	0.133884586691475	4.14089159369848	3.87312242031554
"3"	4	"rand_mip"	6.57257257257257	0.171965730912728	6.7445383034853	6.40060684165984
"4"	5	"rand_mip"	8.74274274274274	0.197146170416707	8.93988891315945	8.54559657232603
"5"	6	"rand_mip"	11.3113113113113	0.221565930346117	11.5328772416574	11.0897453809652
"6"	7	"rand_mip"	13.5725725725726	0.241950425378481	13.8145229979511	13.3306221471941
"7"	8	"rand_mip"	15.7977977977978	0.250766605119405	16.0485644029172	15.5470311926784
"8"	9	"rand_mip"	18.1341341341341	0.276639032811099	18.4107731669452	17.857495101323
"9"	10	"rand_mip"	20.0800800800801	0.269220574255372	20.3493006543355	19.8108595058247
"10"	11	"rand_mip"	22.0790790790791	0.288615381515407	22.3676944605945	21.7904636975637
"11"	12	"rand_mip"	23.7017017017017	0.301665010214917	24.0033667119166	23.4000366914868
"12"	13	"rand_mip"	25.4254254254254	0.311956878783655	25.7373823042091	25.1134685466417
"13"	14	"rand_mip"	27.2762762762763	0.317391606925957	27.5936678832023	26.9588846693503
"14"	15	"rand_mip"	29.034034034034	0.322241035204246	29.3562750692382	28.7117929988298
"15"	16	"rand_mip"	30.5495495495495	0.329755255768854	30.8793048053184	30.2197942937806
"16"	17	"rand_mip"	32.2132132132132	0.336539177984202	32.5497523911974	31.876674035229
"17"	18	"rand_mip"	33.4284284284284	0.335337984910405	33.7637664133388	33.093090443518
"18"	19	"rand_mip"	35.2002002002002	0.332407288416498	35.5326074886167	34.8677929117837
"19"	20	"rand_mip"	36.2482482482482	0.335359878488029	36.5836081267362	35.9128883697602
"20"	21	"rand_mip"	37.5745745745746	0.329725368482232	37.9042999430568	37.2448492060924
"21"	22	"rand_mip"	38.8958958958959	0.331599998623454	39.2274958945194	38.5642958972724
"22"	23	"rand_mip"	40.2082082082082	0.340016495216531	40.5482247034247	39.8681917129917
"23"	24	"rand_mip"	41.2612612612613	0.343047963173106	41.6043092244344	40.9182132980882
"24"	25	"rand_mip"	42.3743743743744	0.349689376245379	42.7240637506198	42.024684998129
"25"	26	"rand_mip"	43.6436436436436	0.330362826111584	43.9740064697552	43.313280817532
"26"	27	"rand_mip"	44.4184184184184	0.351205445172817	44.7696238635912	44.0672129732456
"27"	28	"rand_mip"	45.4314314314314	0.343420670999143	45.7748521024305	45.0880107604323
